City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Kununurra,AU,-15.7667,128.7333,91.38,62,2,5.75,Clear
241,Oranjemund,NA,-28.55,16.4333,60.69,65,0,5.86,Clear
242,Borogontsy,RU,62.6683,131.1683,35.29,72,93,11.68,Clouds
243,Linxia,CN,35.6003,103.2064,47.5,34,5,4.74,Clear
244,Sinnamary,GF,5.3833,-52.95,77.16,87,69,8.03,Clouds
245,Kribi,CM,2.95,9.9167,78.31,91,100,3.33,Rain
246,Saint-Pierre,RE,-21.3393,55.4781,73.29,82,20,3.44,Clouds
247,Praia,CV,14.9215,-23.5087,70.34,78,75,11.5,Clouds
248,Paracuru,BR,-3.41,-39.0306,82.11,86,92,4.09,Clouds
249,Bubaque,GW,11.2833,-15.8333,74.28,76,8,14.99,Clear
250,Lompoc,US,34.6391,-120.4579,58.78,78,0,14.97,Clear
251,Ermelo,ZA,-26.5333,29.9833,50.0,99,100,3.49,Clouds
252,Waipawa,NZ,-41.4122,175.5153,59.76,66,60,12.93,Clouds
253,Leh,IN,34.1667,77.5833,39.76,42,2,1.12,Clear
254,Coquimbo,CL,-29.9533,-71.3436,55.13,94,100,8.05,Clouds
255,Codrington,AU,-38.2667,141.9667,59.0,73,100,9.46,Rain
256,Alihe,CN,50.5667,123.7167,49.96,29,100,8.57,Clouds
257,Pangnirtung,CA,66.1451,-65.7125,-8.3,100,100,3.6,Clouds
258,Maryville,US,35.7565,-83.9705,61.0,61,100,10.36,Clouds
259,Ponta Do Sol,PT,32.6667,-17.1,65.12,56,50,12.77,Clouds
260,Chernyshevskiy,RU,63.0128,112.4714,28.76,81,100,15.99,Clouds
261,Kenai,US,60.5544,-151.2583,45.03,55,100,4.61,Clouds
262,Srednekolymsk,RU,67.45,153.6833,24.24,85,99,6.85,Clouds
263,Kaitangata,NZ,-46.2817,169.8464,59.04,58,16,4.16,Clouds
264,Chadan,RU,51.2833,91.5833,54.64,26,100,3.42,Clouds
265,Anchorage,US,61.2181,-149.9003,47.28,62,100,6.91,Rain
266,Kikwit,CD,-5.041,18.8162,70.54,95,86,2.33,Clouds
267,Seoul,KR,37.5683,126.9778,62.2,35,75,8.05,Haze
268,Benguela,AO,-12.5763,13.4055,76.37,89,100,1.88,Rain
269,Pekan,MY,3.4836,103.3996,82.51,69,85,7.47,Rain
270,Riachao,BR,-7.3619,-46.6172,72.72,91,100,1.39,Clouds
271,Port Lincoln,AU,-34.7333,135.8667,61.48,68,100,8.63,Rain
272,High Level,CA,58.5169,-117.136,17.71,67,100,12.66,Clouds
273,Emborion,GR,40.4833,21.55,37.76,99,100,4.9,Clouds
274,Carahue,CL,-38.7,-73.1667,48.74,89,4,1.39,Clear
275,Barsovo,RU,61.1667,73.1667,24.93,93,97,5.03,Snow
276,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.79,38,75,15.66,Clouds
277,Muisne,EC,0.6,-80.0333,75.31,85,80,7.36,Clouds
278,Clyde River,CA,70.4692,-68.5914,-14.57,76,100,5.75,Snow
279,Fernandopolis,BR,-20.2839,-50.2464,61.21,73,0,7.0,Clear
280,Chalmette,US,29.9427,-89.9634,78.8,74,20,13.8,Clouds
281,Broome,US,42.2506,-75.833,34.66,61,0,3.0,Clear
282,Komsomolskiy,UZ,40.4272,71.7189,65.12,42,53,6.91,Clouds
283,Southbridge,US,42.0751,-72.0334,39.92,70,0,4.85,Clear
284,Sechura,PE,-5.5569,-80.8222,68.94,74,45,16.24,Clouds
285,Gizo,SB,-8.103,156.8419,84.24,70,50,8.43,Rain
