City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,New Norfolk,AU,2022-04-10 00:53:30,-42.7826,147.0587,75.7,32,100,9.51
59,Souillac,MU,2022-04-10 00:54:23,-20.5167,57.5167,77.38,83,40,8.05
60,Methoni,GR,2022-04-10 00:54:23,36.8197,21.7049,56.21,84,91,4.34
61,Saint George,US,2022-04-10 00:52:34,37.1041,-113.5841,84.94,9,0,25.32
62,Qingdao,CN,2022-04-10 00:54:23,36.0986,120.3719,64.0,59,0,11.18
63,Clyde River,CA,2022-04-10 00:50:37,70.4692,-68.5914,1.63,85,100,3.44
64,Kedgwick,CA,2022-04-10 00:54:24,47.6446,-67.3434,34.57,100,100,3.78
65,Yellowknife,CA,2022-04-10 00:50:25,62.456,-114.3525,27.12,59,40,21.85
66,Surab,PK,2022-04-10 00:54:24,28.4914,66.2585,63.18,13,4,3.27
67,Paramonga,PE,2022-04-10 00:54:25,-10.6667,-77.8333,68.9,87,98,7.61
68,Avarua,CK,2022-04-10 00:50:13,-21.2078,-159.775,84.25,79,40,6.91
69,Castro,BR,2022-04-10 00:54:25,-24.7911,-50.0119,64.85,90,100,2.51
70,Birjand,IR,2022-04-10 00:54:25,32.8663,59.2211,66.67,14,71,16.11
71,Leningradskiy,RU,2022-04-10 00:54:26,69.3833,178.4167,-6.0,86,100,5.97
72,Grand-Santi,GF,2022-04-10 00:54:26,4.25,-54.3833,72.93,99,70,1.81
73,Provideniya,RU,2022-04-10 00:54:26,64.3833,-173.3,32.94,96,100,17.0
74,Altay,CN,2022-04-10 00:54:27,47.8667,88.1167,33.4,60,0,5.03
75,Liverpool,GB,2022-04-10 00:51:21,53.4106,-2.9779,37.81,83,0,4.61
76,Madimba,TZ,2022-04-10 00:54:27,-10.4,40.3333,75.11,91,36,8.23
77,Mogadishu,SO,2022-04-10 00:50:30,2.0371,45.3438,81.1,73,100,10.09
78,Banjar,ID,2022-04-10 00:54:27,-8.19,114.9675,83.71,72,8,0.85
79,San Patricio,US,2022-04-10 00:54:28,28.017,-97.5169,77.54,51,92,20.94
80,Masyaf,SY,2022-04-10 00:54:28,35.0653,36.3406,51.22,63,77,3.53
81,Weinan,CN,2022-04-10 00:54:28,34.5036,109.5089,72.21,40,0,3.65
82,Abu Kamal,SY,2022-04-10 00:54:29,34.4506,40.9171,64.22,36,100,1.86
83,Lavrentiya,RU,2022-04-10 00:54:29,65.5833,-171.0,25.27,94,99,5.86
84,Ust-Kan,RU,2022-04-10 00:54:29,50.9276,84.761,15.31,91,21,2.26
85,Puerto Del Rosario,ES,2022-04-10 00:54:30,28.5004,-13.8627,62.35,77,0,6.91
86,Hithadhoo,MV,2022-04-10 00:54:30,-0.6,73.0833,83.14,74,26,10.6
87,Kaitangata,NZ,2022-04-10 00:54:30,-46.2817,169.8464,62.06,53,6,8.57
88,Pisco,PE,2022-04-10 00:54:31,-13.7,-76.2167,68.05,83,0,6.91
89,Tall Kayf,TR,2022-04-10 00:54:31,37.0833,41.0667,54.88,52,13,4.56
90,Barrow,US,2022-04-10 00:53:13,71.2906,-156.7887,-4.72,87,100,8.28
91,Flagstaff,US,2022-04-10 00:54:56,35.1981,-111.6513,68.09,14,0,28.77
92,Tiksi,RU,2022-04-10 00:55:31,71.6872,128.8694,-8.25,95,67,6.67
93,Lloret De Mar,ES,2022-04-10 00:55:32,41.6999,2.8457,56.89,91,100,3.85
94,Cockburn Town,TC,2022-04-10 00:55:24,21.4612,-71.1419,78.76,73,20,11.5
95,Cherskiy,RU,2022-04-10 00:55:32,68.75,161.3,-0.56,88,100,4.0
96,Morki,RU,2022-04-10 00:55:32,56.4303,48.9947,36.82,99,100,4.18
97,Bredasdorp,ZA,2022-04-10 00:55:33,-34.5322,20.0403,60.76,90,15,14.29
98,Mahebourg,MU,2022-04-10 00:55:33,-20.4081,57.7,77.29,83,40,8.05
99,Fernandez,AR,2022-04-10 00:55:33,-27.9204,-63.8935,73.85,75,100,6.62
100,Vilyuysk,RU,2022-04-10 00:55:34,63.7553,121.6247,21.56,90,100,5.37
101,Jining,CN,2022-04-10 00:55:34,35.405,116.5814,75.4,46,0,13.62
102,Santa Isabel Do Rio Negro,BR,2022-04-10 00:55:34,-0.4139,-65.0192,73.22,99,99,1.81
103,Zolotukhino,RU,2022-04-10 00:55:35,52.0842,36.3772,53.67,85,100,12.59
104,Azoyu,MX,2022-04-10 00:55:35,16.7167,-98.7333,79.12,61,14,4.29
105,Tarko-Sale,RU,2022-04-10 00:55:35,64.9225,77.785,2.77,89,100,4.29
106,Kathu,TH,2022-04-10 00:55:36,7.9178,98.3332,86.76,73,7,1.25
107,Kodiak,US,2022-04-10 00:55:36,57.79,-152.4072,36.39,36,0,5.57
108,Caucaia,BR,2022-04-10 00:55:37,-3.7361,-38.6531,80.55,83,40,2.3
109,Klaksvik,FO,2022-04-10 00:55:37,62.2266,-6.589,34.72,64,100,19.75
110,Mayo,US,2022-04-10 00:55:37,38.8876,-76.5119,52.14,53,100,6.91
111,Narsaq,GL,2022-04-10 00:55:37,60.9167,-46.05,25.81,60,100,5.7
112,Coahuayana,MX,2022-04-10 00:55:38,18.7333,-103.6833,77.49,70,54,4.05
113,Port Elizabeth,ZA,2022-04-10 00:55:38,-33.918,25.5701,65.1,96,75,16.11
114,Ilulissat,GL,2022-04-10 00:55:38,69.2167,-51.1,0.97,91,88,6.71
